schedule_index,part_id,layer_id,layer_label,solver_status,base_start_cell_id,base_end_cell_id,fixed_start_cell_id,fixed_end_cell_id,result_start_cell_id,result_end_cell_id,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,layer_total_time_s,base_layer_total_time_s,delta_time_s,delta_time_percent,path_difference_rate
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C020,L01_C001,L01_C020,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.405405
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C021,L01_C001,L01_C021,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C022,L01_C001,L01_C022,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.432432
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C023,L01_C001,L01_C023,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C024,L01_C001,L01_C024,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.540541
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C025,L01_C001,L01_C025,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C026,L01_C001,L01_C026,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C027,L01_C001,L01_C027,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.405405
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C028,L01_C001,L01_C028,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.783784
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C029,L01_C001,L01_C029,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C030,L01_C001,L01_C030,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.324324
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C031,L01_C001,L01_C031,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C032,L01_C001,L01_C032,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C033,L01_C001,L01_C033,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.783784
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C034,L01_C001,L01_C034,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.432432
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C035,L01_C001,L01_C035,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.675676
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C036,L01_C001,L01_C036,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C037,L01_C001,L01_C037,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C001,L01_C038,L01_C001,L01_C038,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.756757
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C001,L01_C002,L01_C001,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.378378
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C003,L01_C002,L01_C003,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.891892
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C004,L01_C002,L01_C004,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C005,L01_C002,L01_C005,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.972973
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C006,L01_C002,L01_C006,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.351351
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C007,L01_C002,L01_C007,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.945946
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C008,L01_C002,L01_C008,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.378378
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C009,L01_C002,L01_C009,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.324324
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C010,L01_C002,L01_C010,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.972973
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C011,L01_C002,L01_C011,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C012,L01_C002,L01_C012,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.972973
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C013,L01_C002,L01_C013,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C014,L01_C002,L01_C014,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.540541
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C015,L01_C002,L01_C015,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.945946
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C016,L01_C002,L01_C016,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.567568
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C017,L01_C002,L01_C017,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C018,L01_C002,L01_C018,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C019,L01_C002,L01_C019,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.729730
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C020,L01_C002,L01_C020,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.432432
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C021,L01_C002,L01_C021,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.972973
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C022,L01_C002,L01_C022,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.594595
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C023,L01_C002,L01_C023,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C024,L01_C002,L01_C024,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.378378
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C025,L01_C002,L01_C025,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.324324
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C026,L01_C002,L01_C026,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.405405
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C027,L01_C002,L01_C027,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.567568
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C028,L01_C002,L01_C028,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.702703
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C029,L01_C002,L01_C029,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.621622
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C030,L01_C002,L01_C030,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.432432
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C031,L01_C002,L01_C031,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C032,L01_C002,L01_C032,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C033,L01_C002,L01_C033,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.729730
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C034,L01_C002,L01_C034,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C035,L01_C002,L01_C035,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C036,L01_C002,L01_C036,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C037,L01_C002,L01_C037,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C002,L01_C038,L01_C002,L01_C038,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C001,L01_C003,L01_C001,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.621622
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C002,L01_C003,L01_C002,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.108108
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C004,L01_C003,L01_C004,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C005,L01_C003,L01_C005,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C006,L01_C003,L01_C006,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.378378
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C007,L01_C003,L01_C007,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C008,L01_C003,L01_C008,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C009,L01_C003,L01_C009,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.540541
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C010,L01_C003,L01_C010,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C011,L01_C003,L01_C011,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.621622
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C012,L01_C003,L01_C012,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C013,L01_C003,L01_C013,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,1.000000
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C014,L01_C003,L01_C014,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.972973
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C015,L01_C003,L01_C015,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.837838
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C016,L01_C003,L01_C016,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C017,L01_C003,L01_C017,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.567568
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C018,L01_C003,L01_C018,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C019,L01_C003,L01_C019,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.864865
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C020,L01_C003,L01_C020,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.621622
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C021,L01_C003,L01_C021,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.351351
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C022,L01_C003,L01_C022,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C023,L01_C003,L01_C023,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C024,L01_C003,L01_C024,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.702703
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C025,L01_C003,L01_C025,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.405405
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C026,L01_C003,L01_C026,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.324324
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C027,L01_C003,L01_C027,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.621622
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C028,L01_C003,L01_C028,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.837838
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C029,L01_C003,L01_C029,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.756757
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C030,L01_C003,L01_C030,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.783784
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C031,L01_C003,L01_C031,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.891892
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C032,L01_C003,L01_C032,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.837838
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C033,L01_C003,L01_C033,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.594595
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C034,L01_C003,L01_C034,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C035,L01_C003,L01_C035,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.756757
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C036,L01_C003,L01_C036,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.567568
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C037,L01_C003,L01_C037,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C003,L01_C038,L01_C003,L01_C038,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.702703
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C001,L01_C004,L01_C001,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.513514
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C002,L01_C004,L01_C002,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.540541
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C003,L01_C004,L01_C003,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.324324
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C005,L01_C004,L01_C005,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.945946
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C006,L01_C004,L01_C006,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C007,L01_C004,L01_C007,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.270270
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C008,L01_C004,L01_C008,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.324324
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C009,L01_C004,L01_C009,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.405405
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C010,L01_C004,L01_C010,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.945946
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C011,L01_C004,L01_C011,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.378378
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C012,L01_C004,L01_C012,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.162162
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C013,L01_C004,L01_C013,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.297297
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C014,L01_C004,L01_C014,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C015,L01_C004,L01_C015,148.000000,0.082222,0.225333,0.570000,0.877556,0.877556,0.000000,0.000000,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C016,L01_C004,L01_C016,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.459459
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C017,L01_C004,L01_C017,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.810811
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C018,L01_C004,L01_C018,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.918919
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C019,L01_C004,L01_C019,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.945946
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C020,L01_C004,L01_C020,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.567568
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C021,L01_C004,L01_C021,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.837838
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C022,L01_C004,L01_C022,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.486486
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C023,L01_C004,L01_C023,151.313800,0.084063,0.225333,0.570000,0.879397,0.877556,0.001841,0.209787,0.729730
1,part_A,1,1:A1,OPTIMAL,L01_C015,L01_C010,L01_C004,L01_C024,L01_C004,L01_C024,149.656900,0.083143,0.225333,0.570000,0.878476,0.877556,0.000920,0.104894,0.756757
